fifa_player_id,fotmob_player_id,season_name,fotmob_tournament_id,appearances,goals,assists,fotmob_rating,minutes_played,chances_created,big_chances_created,dribbles,successful_dribbles_pct,duels_won,duels_won_pct,touches,touches_opp_box,defensive_contributions,tackles,fouls_committed,xg_against_on_pitch,yellow_cards,red_cards
433439,640284,2026,24254,2.0,0.0,0.0,5.77,91.0,0.0,0.0,0.0,,3.0,75.0,50.0,0.0,21.0,1.0,0.0,2.44,0,0
403312,848600,2026,24254,2.0,1.0,0.0,6.66,150.0,0.0,0.0,0.0,,4.0,66.7,71.0,3.0,16.0,1.0,1.0,3.53,1,0
403335,848607,2026,24254,2.0,0.0,0.0,5.42,180.0,0.0,0.0,0.0,,4.0,50.0,87.0,1.0,14.0,2.0,0.0,4.02,0,0
403319,848612,2026,24254,2.0,0.0,0.0,6.78,116.0,0.0,0.0,3.0,66.7,8.0,50.0,74.0,0.0,12.0,3.0,3.0,3.14,0,0
436537,1235341,2026,24254,2.0,0.0,0.0,6.5,108.0,2.0,0.0,1.0,0.0,4.0,44.4,64.0,0.0,4.0,3.0,1.0,2.23,0,0
419291,844226,2026,24254,2.0,0.0,0.0,6.28,149.0,0.0,0.0,0.0,,9.0,45.0,55.0,2.0,4.0,0.0,1.0,3.39,0,0
339745,307753,2026,24254,2.0,0.0,0.0,6.26,180.0,0.0,0.0,6.0,83.3,11.0,47.8,85.0,1.0,3.0,3.0,1.0,4.02,1,0
419281,1002617,2026,24254,2.0,0.0,0.0,6.26,179.0,0.0,0.0,0.0,,10.0,62.5,100.0,2.0,14.0,7.0,2.0,3.88,0,0
430518,1401228,2026,24254,1.0,0.0,0.0,,9.0,0.0,0.0,0.0,,0.0,0.0,7.0,0.0,0.0,0.0,1.0,,0,0
411624,823457,2026,24254,2.0,0.0,0.0,6.42,135.0,0.0,0.0,2.0,100.0,4.0,50.0,62.0,0.0,9.0,2.0,0.0,3.12,0,0
419300,1024928,2026,24254,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0,0
523333,697618,2026,24254,2.0,0.0,0.0,6.23,31.0,0.0,0.0,0.0,,1.0,50.0,20.0,1.0,1.0,0.0,0.0,,0,0
419302,909198,2026,24254,1.0,0.0,0.0,6.0,46.0,0.0,0.0,1.0,100.0,1.0,50.0,17.0,0.0,2.0,0.0,0.0,,0,0
396885,535669,2026,24254,2.0,0.0,0.0,7.0,180.0,0.0,0.0,0.0,,2.0,100.0,85.0,0.0,4.0,0.0,0.0,5.13,0,0
407993,866373,2026,24254,1.0,0.0,0.0,6.59,135.0,0.0,0.0,0.0,,5.0,62.5,82.0,1.0,9.0,1.0,1.0,,1,0
419303,1138003,2026,24254,2.0,0.0,0.0,6.06,179.0,0.0,0.0,3.0,33.3,6.0,54.5,93.0,1.0,13.0,0.0,0.0,3.88,0,0
512183,1543647,2026,24254,1.0,0.0,0.0,6.16,111.0,0.0,0.0,1.0,0.0,5.0,41.7,62.0,0.0,8.0,3.0,2.0,,0,0
380007,505313,2026,24254,2.0,0.0,0.0,7.6,180.0,0.0,0.0,2.0,100.0,3.0,100.0,79.0,0.0,1.0,0.0,0.0,2.49,0,0
448505,1221526,2026,24254,1.0,0.0,0.0,6.36,45.0,0.0,0.0,1.0,0.0,1.0,20.0,15.0,0.0,4.0,0.0,0.0,0.81,0,0
288961,117222,2026,24254,2.0,0.0,0.0,6.45,91.0,0.0,0.0,0.0,,3.0,50.0,31.0,0.0,4.0,1.0,2.0,1.87,1,0
346743,511397,2026,24254,2.0,0.0,0.0,7.09,180.0,0.0,0.0,0.0,,12.0,60.0,116.0,2.0,28.0,5.0,3.0,3.03,0,0
390537,630459,2026,24254,1.0,0.0,0.0,6.04,114.0,1.0,0.0,1.0,0.0,3.0,37.5,81.0,1.0,9.0,3.0,0.0,,0,0
371736,505281,2026,24254,2.0,0.0,0.0,6.98,175.0,0.0,0.0,2.0,50.0,9.0,40.9,102.0,2.0,15.0,4.0,4.0,2.71,1,0
379886,466890,2026,24254,1.0,0.0,0.0,6.28,45.0,0.0,0.0,1.0,100.0,3.0,37.5,20.0,3.0,2.0,1.0,2.0,,0,0
448497,1073012,2026,24254,2.0,1.0,0.0,7.08,156.0,1.0,0.0,0.0,,6.0,54.5,60.0,5.0,6.0,2.0,0.0,2.61,0,0
