fantasy_player_id,appearances,minutes_played,starting_xi,total_points,total_goals_scored,total_assists,clean_sheets,saves,tackles,chances_created,shots_on_target,scouting_bonus,yellow_cards
205,2,180,0,9,0,0,1,0,7,0,1,1,1
206,2,180,0,4,0,0,1,0,2,0,0,0,0
207,1,61,0,2,0,0,1,0,1,0,0,0,0
208,1,61,0,2,0,0,1,0,0,0,0,0,0
209,2,61,0,2,0,0,2,0,1,0,0,0,0
210,1,58,0,1,0,0,0,0,1,0,0,0,0
211,1,29,0,1,0,0,1,0,1,0,0,0,0
214,2,180,0,12,0,0,1,7,0,0,0,1,0
217,2,56,0,5,0,1,1,0,0,1,0,0,0
218,2,74,0,2,0,0,2,0,2,0,0,0,0
219,2,80,0,4,0,0,2,0,0,0,2,0,0
220,2,180,0,11,0,0,1,0,5,1,1,1,0
221,2,135,0,2,0,0,1,0,4,0,0,0,1
225,2,161,0,10,0,0,1,0,3,0,0,1,1
226,2,151,0,26,3,1,1,0,1,0,6,1,0
227,2,104,0,21,2,1,2,0,0,0,3,2,0
228,2,144,0,9,0,1,1,0,3,0,1,1,0
229,1,61,0,2,0,0,0,0,2,0,0,0,0
230,2,95,0,3,0,0,1,0,0,0,1,0,0
235,2,180,0,11,0,0,1,2,1,0,0,1,0
238,2,100,0,9,0,1,2,0,3,0,0,1,0
240,1,7,0,1,0,0,1,0,0,0,0,0,0
241,1,33,0,13,1,1,1,0,1,1,1,1,0
243,1,1,0,1,0,0,1,0,0,0,0,0,0
245,2,147,0,3,0,0,1,0,2,0,0,0,0
246,1,1,0,1,0,0,1,0,1,0,0,0,0
247,1,10,0,1,0,0,1,0,0,0,0,0,0
248,1,90,0,9,1,0,0,0,2,0,1,0,0
249,1,90,0,2,0,0,0,0,0,0,0,0,0
250,1,90,0,2,0,0,0,0,2,0,0,0,0
252,1,90,0,1,0,0,0,0,1,0,0,0,1
256,1,89,0,11,1,1,0,0,0,1,1,0,0
259,1,80,0,2,0,0,0,0,1,0,0,0,0
261,1,1,0,1,0,0,1,0,1,0,0,0,0
262,1,90,0,2,0,0,0,1,0,0,0,0,0
265,1,90,0,2,0,0,0,0,0,0,0,0,0
266,1,80,0,7,0,1,0,0,0,1,0,1,0
268,1,18,0,9,1,0,1,0,1,0,1,1,0
269,1,89,0,2,0,0,0,0,1,1,0,0,0
270,1,72,0,2,0,0,0,0,0,0,1,0,0
272,1,85,0,2,0,0,0,0,2,0,0,0,0
273,1,74,0,7,0,1,0,0,1,1,0,1,0
274,1,90,0,1,0,0,0,0,2,0,0,0,1
275,1,90,0,2,0,0,0,0,1,0,0,0,0
276,1,16,0,1,0,0,1,0,2,0,0,0,0
278,1,90,0,2,0,0,0,0,1,0,0,0,0
281,1,90,0,9,1,0,0,0,1,0,1,1,0
282,1,5,0,1,0,0,1,0,0,0,0,0,0
283,1,85,0,2,0,0,0,0,0,0,0,0,0
289,1,90,0,2,0,0,0,0,0,0,0,0,0
292,1,57,0,1,0,0,0,0,0,0,0,0,0
293,1,90,0,2,0,0,0,0,2,0,0,0,0
294,1,33,0,2,0,0,1,0,3,0,0,0,0
295,1,16,0,1,0,0,1,0,0,0,0,0,0
296,1,74,0,3,0,0,0,0,3,0,1,0,0
298,2,103,0,4,0,0,1,0,4,0,0,0,0
300,2,172,0,14,0,1,1,0,1,0,0,1,0
302,2,91,0,2,0,0,1,0,0,0,0,0,0
303,2,97,0,9,0,0,1,0,1,0,0,1,1
304,2,180,0,10,0,0,1,0,5,0,0,1,0
305,2,180,0,10,0,0,1,0,1,0,0,1,0
307,2,175,0,4,0,0,1,0,8,2,0,0,0
308,2,82,0,3,0,0,1,0,0,0,0,0,0
309,1,56,0,1,0,0,1,0,1,0,1,0,0
310,2,109,0,16,1,1,1,0,3,0,2,2,0
311,1,15,0,1,0,0,0,0,0,0,0,0,0
312,1,15,0,1,0,0,0,0,0,0,0,0,0
314,1,56,0,1,0,0,1,0,0,0,0,0,0
317,2,180,0,11,0,0,1,6,0,0,0,1,0
321,2,88,0,5,0,0,1,0,8,0,0,0,0
322,2,180,0,12,1,0,1,0,2,0,1,1,1
323,2,92,0,3,0,0,1,0,0,0,1,0,1
324,1,90,0,7,0,1,0,0,1,0,0,1,0
325,1,90,0,-1,0,0,0,0,2,0,0,0,0
326,1,90,0,-1,0,0,0,0,0,0,0,0,0
330,1,66,0,0,0,0,0,0,0,0,0,0,0
333,1,11,0,1,0,0,0,0,0,0,0,0,0
334,1,90,0,7,0,1,0,0,1,1,0,1,0
335,1,24,0,1,0,0,0,0,1,0,1,0,0
336,1,66,0,9,1,0,0,0,1,0,1,1,0
337,1,24,0,1,0,0,0,0,0,0,1,0,0
338,1,90,0,1,0,0,0,7,1,0,0,0,0
345,1,12,0,1,0,0,0,0,0,0,0,0,0
346,1,58,0,0,0,0,0,0,0,0,0,0,0
347,1,79,0,2,0,0,0,0,1,0,0,0,0
348,1,78,0,10,1,0,0,0,1,0,1,1,0
350,2,159,0,5,0,0,1,0,0,0,0,0,0
351,1,6,0,1,0,0,1,0,0,0,0,0,0
352,2,180,0,4,0,0,1,0,4,0,1,1,1
353,1,90,0,-5,0,0,0,0,1,0,0,0,0
354,1,90,0,9,0,0,1,0,5,0,0,1,0
356,2,180,0,5,0,0,1,0,6,0,0,1,0
357,1,14,0,1,0,0,1,0,1,0,0,0,0
359,1,90,0,8,0,0,1,0,3,0,0,1,1
360,2,174,0,11,1,0,1,0,0,0,2,1,1
363,1,45,0,1,0,0,0,0,1,0,1,0,0
364,1,15,0,1,0,0,1,0,0,0,0,0,0
365,2,39,0,2,0,0,1,0,0,0,0,0,0
366,2,14,0,1,0,0,1,0,1,0,0,0,1
367,1,45,0,1,0,0,0,0,1,0,0,0,0
368,2,180,0,11,0,0,1,19,0,0,0,1,0
372,2,165,0,5,0,0,1,0,4,0,1,0,1
374,2,180,0,11,1,0,0,0,7,1,1,1,1
375,1,90,0,2,0,0,0,0,0,0,0,0,0
378,2,180,0,3,0,0,0,0,1,0,0,0,0
379,2,125,0,2,0,0,0,0,0,0,0,0,0
380,2,180,0,6,0,1,0,0,1,2,0,0,0
381,1,90,0,1,0,0,0,0,1,0,0,0,0
382,2,154,0,4,0,0,1,0,0,0,1,0,0
383,1,26,0,1,0,0,0,0,0,0,0,0,0
384,1,6,0,1,0,0,1,0,0,0,0,0,0
387,2,180,0,5,0,0,0,7,0,0,0,0,0
390,1,78,0,3,0,0,1,0,1,0,1,0,0
391,1,55,0,1,0,0,1,0,1,0,0,0,0
393,2,113,0,3,0,0,0,0,1,0,0,0,0
395,2,93,0,12,1,0,1,0,1,0,3,1,0
396,2,87,0,4,0,0,1,0,3,0,0,0,0
397,2,99,0,3,0,0,1,0,2,0,0,0,0
399,1,45,0,0,0,0,1,0,1,0,0,0,1
400,1,70,0,9,0,0,1,0,3,0,0,1,0
403,2,35,0,2,0,0,1,0,0,0,0,0,0
404,1,90,0,2,0,0,0,0,2,0,0,0,0
407,1,28,0,0,0,0,0,0,0,0,0,0,1
412,2,167,0,6,0,0,2,0,1,0,5,0,0
413,2,180,0,5,0,0,1,0,5,0,4,0,0
414,2,151,0,7,0,0,2,0,2,2,2,0,0
415,2,58,0,2,0,0,1,0,1,0,1,0,0
416,1,56,0,1,0,0,1,0,0,0,0,0,0
417,1,1,0,1,0,0,1,0,0,0,0,0,0
423,2,180,0,11,0,0,1,6,0,0,0,0,0
428,2,145,0,6,0,0,2,0,4,0,0,0,0
429,2,180,0,6,0,0,1,0,5,1,1,0,0
430,2,180,0,5,0,0,1,0,4,1,1,0,0
432,2,180,0,4,0,0,0,0,3,0,0,0,1
433,2,20,0,2,0,0,2,0,0,0,1,0,0
434,2,129,0,4,0,0,0,0,6,0,0,0,0
435,2,155,0,12,1,0,0,0,1,0,1,1,0
437,1,0,0,0,0,0,1,0,0,0,0,0,0
438,2,178,0,3,0,0,0,0,6,2,1,0,1
439,2,180,0,7,0,1,0,0,7,1,0,1,0
440,2,68,0,2,0,0,2,0,2,0,0,0,0
441,1,14,0,1,0,0,1,0,0,0,0,0,0
444,2,180,0,4,0,0,0,0,2,0,0,0,0
445,2,165,0,4,0,0,0,0,1,0,1,0,0
447,1,15,0,8,1,0,1,0,0,0,1,1,0
453,2,180,0,6,0,0,0,7,0,0,0,0,0
455,2,180,0,6,0,0,0,0,13,0,0,0,1
456,1,2,0,1,0,0,1,0,0,0,0,0,0
457,1,90,0,1,0,0,0,0,0,0,1,0,0
461,1,3,0,1,0,0,1,0,0,0,0,0,0
463,1,90,0,1,0,0,0,0,0,0,1,0,0
466,1,87,0,1,0,0,0,0,1,0,0,0,0
467,1,10,0,1,0,0,1,0,1,0,1,0,0
468,1,90,0,13,2,0,0,0,1,0,3,0,0
469,1,18,0,4,0,1,1,0,0,0,0,0,0
471,1,18,0,9,1,0,1,0,0,0,1,1,0
474,1,72,0,2,0,0,0,0,0,0,1,0,0
475,1,18,0,1,0,0,1,0,1,1,0,0,0
