referee_id,source,window,matches,yellow_pg,red_pg,penalty_pg,fouls_pg,total_yellows,total_reds,total_penalties,total_fouls,fixtures_with_red,fixtures_with_penalty,fixtures_no_cards,computed_at
anthony-taylor-gb,footymetrics,last_5,5,3.4,0.0,0.4,24.2,17,0,2,121,0,1,0,2026-06-22T11:10:36
anthony-taylor-gb,footymetrics,last_10,10,3.9,0.0,0.3,23.3,39,0,3,233,0,2,1,2026-06-22T11:10:36
anthony-taylor-gb,footymetrics,last_15,15,4.467,0.067,0.2,23.4,67,1,3,351,1,2,1,2026-06-22T11:10:36
anthony-taylor-gb,footymetrics,last_25,15,4.467,0.067,0.2,23.4,67,1,3,351,1,2,1,2026-06-22T11:10:36
danny-desmond-makkelie-cw,footymetrics,last_5,5,4.0,0.0,0.4,23.0,20,0,2,115,0,2,0,2026-06-22T11:10:36
danny-desmond-makkelie-cw,footymetrics,last_10,10,3.3,0.1,0.3,22.8,33,1,3,228,1,3,0,2026-06-22T11:10:36
danny-desmond-makkelie-cw,footymetrics,last_15,15,3.0,0.133,0.267,21.0,45,2,4,315,2,4,0,2026-06-22T11:10:36
danny-desmond-makkelie-cw,footymetrics,last_25,15,3.0,0.133,0.267,21.0,45,2,4,315,2,4,0,2026-06-22T11:10:36
michael-oliver-gb,footymetrics,last_5,5,3.6,0.0,0.0,23.2,18,0,0,116,0,0,0,2026-06-22T11:10:36
michael-oliver-gb,footymetrics,last_10,10,4.5,0.0,0.3,24.2,45,0,3,242,0,2,0,2026-06-22T11:10:36
michael-oliver-gb,footymetrics,last_15,15,4.333,0.0,0.2,23.2,65,0,3,348,0,2,0,2026-06-22T11:10:36
michael-oliver-gb,footymetrics,last_25,15,4.333,0.0,0.2,23.2,65,0,3,348,0,2,0,2026-06-22T11:10:36
darío-herrera-ar,footymetrics,last_5,5,5.4,1.2,0.0,23.4,27,6,0,117,3,0,0,2026-06-22T11:10:36
darío-herrera-ar,footymetrics,last_10,10,5.6,0.8,0.1,23.9,56,8,1,239,4,1,0,2026-06-22T11:10:36
darío-herrera-ar,footymetrics,last_15,15,5.867,0.8,0.133,24.2,88,12,2,363,8,2,0,2026-06-22T11:10:36
darío-herrera-ar,footymetrics,last_25,15,5.867,0.8,0.133,24.2,88,12,2,363,8,2,0,2026-06-22T11:10:36
facundo-tello-figueroa-ar,footymetrics,last_5,5,4.0,0.0,0.4,27.8,20,0,2,139,0,2,0,2026-06-22T11:10:36
facundo-tello-figueroa-ar,footymetrics,last_10,10,4.6,0.2,0.3,26.7,46,2,3,267,2,3,0,2026-06-22T11:10:36
facundo-tello-figueroa-ar,footymetrics,last_15,15,5.0,0.133,0.333,26.0,75,2,5,390,2,5,0,2026-06-22T11:10:36
facundo-tello-figueroa-ar,footymetrics,last_25,15,5.0,0.133,0.333,26.0,75,2,5,390,2,5,0,2026-06-22T11:10:36
raphael-claus-br,footymetrics,last_5,5,4.4,0.0,0.6,15.6,22,0,3,78,0,2,0,2026-06-22T11:10:36
raphael-claus-br,footymetrics,last_10,10,4.5,0.1,0.3,19.6,45,1,3,196,1,2,0,2026-06-22T11:10:36
raphael-claus-br,footymetrics,last_15,15,4.0,0.133,0.333,20.133,60,2,5,302,2,4,0,2026-06-22T11:10:36
raphael-claus-br,footymetrics,last_25,15,4.0,0.133,0.333,20.133,60,2,5,302,2,4,0,2026-06-22T11:10:36
wilton-pereira-sampaio-br,footymetrics,last_5,5,5.2,0.6,0.4,25.2,26,3,2,126,1,2,0,2026-06-22T11:10:36
wilton-pereira-sampaio-br,footymetrics,last_10,10,5.2,0.3,0.3,27.1,52,3,3,271,1,3,1,2026-06-22T11:10:36
wilton-pereira-sampaio-br,footymetrics,last_15,15,5.4,0.333,0.333,26.2,81,5,5,393,2,5,1,2026-06-22T11:10:36
wilton-pereira-sampaio-br,footymetrics,last_25,15,5.4,0.333,0.333,26.2,81,5,5,393,2,5,1,2026-06-22T11:10:36
szymon-marciniak-pl,footymetrics,last_5,5,3.6,0.0,0.0,19.8,18,0,0,99,0,0,1,2026-06-22T11:10:36
szymon-marciniak-pl,footymetrics,last_10,10,4.0,0.4,0.4,21.2,40,4,4,212,3,4,1,2026-06-22T11:10:36
szymon-marciniak-pl,footymetrics,last_15,15,4.067,0.333,0.4,23.933,61,5,6,359,4,6,1,2026-06-22T11:10:36
szymon-marciniak-pl,footymetrics,last_25,15,4.067,0.333,0.4,23.933,61,5,6,359,4,6,1,2026-06-22T11:10:36
clément-turpin-fr,footymetrics,last_5,5,3.0,0.0,0.6,23.6,15,0,3,118,0,3,1,2026-06-22T11:10:36
clément-turpin-fr,footymetrics,last_10,10,2.9,0.3,0.4,23.2,29,3,4,232,3,4,1,2026-06-22T11:10:36
clément-turpin-fr,footymetrics,last_15,15,3.133,0.267,0.4,22.067,47,4,6,331,4,6,1,2026-06-22T11:10:36
clément-turpin-fr,footymetrics,last_25,15,3.133,0.267,0.4,22.067,47,4,6,331,4,6,1,2026-06-22T11:10:36
felix-zwayer-de,footymetrics,last_5,5,4.0,0.0,0.0,22.6,20,0,0,113,0,0,0,2026-06-22T11:10:36
felix-zwayer-de,footymetrics,last_10,10,4.2,0.0,0.1,24.3,42,0,1,243,0,1,0,2026-06-22T11:10:36
felix-zwayer-de,footymetrics,last_15,15,4.067,0.067,0.2,24.133,61,1,3,362,1,3,0,2026-06-22T11:10:36
felix-zwayer-de,footymetrics,last_25,15,4.067,0.067,0.2,24.133,61,1,3,362,1,3,0,2026-06-22T11:10:36
istvan-kovacs-ro,footymetrics,last_5,5,3.8,0.0,1.0,27.0,19,0,5,135,0,2,1,2026-06-22T11:10:36
