referee_id,source,window,matches,yellow_pg,red_pg,penalty_pg,fouls_pg,total_yellows,total_reds,total_penalties,total_fouls,fixtures_with_red,fixtures_with_penalty,fixtures_no_cards,computed_at
pierre-ghislain-atcho-ga,footymetrics,last_5,5,1.6,0.0,0.2,22.2,8,0,1,111,0,1,1,2026-06-22T11:10:36
pierre-ghislain-atcho-ga,footymetrics,last_10,10,2.8,0.2,0.1,24.7,28,2,1,247,2,1,1,2026-06-22T11:10:36
pierre-ghislain-atcho-ga,footymetrics,last_15,15,3.0,0.2,0.133,24.333,45,3,2,365,3,2,2,2026-06-22T11:10:36
pierre-ghislain-atcho-ga,footymetrics,last_25,15,3.0,0.2,0.133,24.333,45,3,2,365,3,2,2,2026-06-22T11:10:36
katia-itzel-garcía-mx,footymetrics,last_5,5,3.4,0.0,0.2,21.8,17,0,1,109,0,1,0,2026-06-22T11:10:36
katia-itzel-garcía-mx,footymetrics,last_10,10,4.2,0.1,0.3,21.6,42,1,3,216,1,3,0,2026-06-22T11:10:36
katia-itzel-garcía-mx,footymetrics,last_15,15,5.0,0.067,0.333,23.667,75,1,5,355,1,5,0,2026-06-22T11:10:36
katia-itzel-garcía-mx,footymetrics,last_25,15,5.0,0.067,0.333,23.667,75,1,5,355,1,5,0,2026-06-22T11:10:36
abongile-tom-za,footymetrics,last_5,5,7.0,0.6,0.4,23.8,35,3,2,119,3,2,0,2026-06-22T11:10:36
abongile-tom-za,footymetrics,last_10,10,5.5,0.3,0.6,26.5,55,3,6,265,3,5,0,2026-06-22T11:10:36
abongile-tom-za,footymetrics,last_15,15,5.533,0.2,0.733,22.0,83,3,11,330,3,8,0,2026-06-22T11:10:36
abongile-tom-za,footymetrics,last_25,15,5.533,0.2,0.733,22.0,83,3,11,330,3,8,0,2026-06-22T11:10:36
dahane-beida-mr,footymetrics,last_5,5,4.4,0.0,0.2,30.0,22,0,1,150,0,1,0,2026-06-22T11:10:36
dahane-beida-mr,footymetrics,last_10,10,3.5,0.0,0.1,27.3,35,0,1,273,0,1,0,2026-06-22T11:10:36
dahane-beida-mr,footymetrics,last_15,15,3.467,0.067,0.4,29.067,52,1,6,436,1,3,0,2026-06-22T11:10:36
dahane-beida-mr,footymetrics,last_25,15,3.467,0.067,0.4,29.067,52,1,6,436,1,3,0,2026-06-22T11:10:36
mustapha-ghorbal-dz,footymetrics,last_5,5,3.2,0.2,0.0,34.0,16,1,0,170,1,0,0,2026-06-22T11:10:36
mustapha-ghorbal-dz,footymetrics,last_10,10,3.2,0.4,0.1,30.3,32,4,1,303,3,1,0,2026-06-22T11:10:36
mustapha-ghorbal-dz,footymetrics,last_15,15,3.4,0.267,0.333,29.933,51,4,5,449,3,3,0,2026-06-22T11:10:36
mustapha-ghorbal-dz,footymetrics,last_25,15,3.4,0.267,0.333,29.933,51,4,5,449,3,3,0,2026-06-22T11:10:36
ivan-barton-sv,footymetrics,last_5,5,3.8,0.4,0.6,25.0,19,2,3,125,2,2,0,2026-06-22T11:10:36
ivan-barton-sv,footymetrics,last_10,10,3.2,0.2,0.4,23.9,32,2,4,239,2,3,0,2026-06-22T11:10:36
ivan-barton-sv,footymetrics,last_15,15,3.533,0.333,0.533,25.867,53,5,8,388,4,6,0,2026-06-22T11:10:36
ivan-barton-sv,footymetrics,last_25,15,3.533,0.333,0.533,25.867,53,5,8,388,4,6,0,2026-06-22T11:10:36
oshane-nation-jm,footymetrics,last_5,5,4.4,0.0,0.8,26.6,22,0,4,133,0,1,0,2026-06-22T11:10:36
oshane-nation-jm,footymetrics,last_10,10,3.0,0.0,0.5,25.2,30,0,5,252,0,2,3,2026-06-22T11:10:36
oshane-nation-jm,footymetrics,last_15,14,3.5,0.143,0.429,24.214,49,2,6,339,1,3,3,2026-06-22T11:10:36
oshane-nation-jm,footymetrics,last_25,14,3.5,0.143,0.429,24.214,49,2,6,339,1,3,3,2026-06-22T11:10:36
juan-calderón-cr,footymetrics,last_5,5,4.4,0.0,0.0,24.0,22,0,0,120,0,0,0,2026-06-22T11:10:36
juan-calderón-cr,footymetrics,last_10,10,3.3,0.1,0.3,23.4,33,1,3,234,1,2,1,2026-06-22T11:10:36
juan-calderón-cr,footymetrics,last_15,10,3.3,0.1,0.3,23.4,33,1,3,234,1,2,1,2026-06-22T11:10:36
juan-calderón-cr,footymetrics,last_25,10,3.3,0.1,0.3,23.4,33,1,3,234,1,2,1,2026-06-22T11:10:36
héctor-said-martínez-sorto-hn,footymetrics,last_5,5,3.2,0.2,0.0,26.2,16,1,0,131,1,0,0,2026-06-22T11:10:36
héctor-said-martínez-sorto-hn,footymetrics,last_10,6,3.167,0.333,0.0,21.833,19,2,0,131,2,0,0,2026-06-22T11:10:36
héctor-said-martínez-sorto-hn,footymetrics,last_15,6,3.167,0.333,0.0,21.833,19,2,0,131,2,0,0,2026-06-22T11:10:36
héctor-said-martínez-sorto-hn,footymetrics,last_25,6,3.167,0.333,0.0,21.833,19,2,0,131,2,0,0,2026-06-22T11:10:36
campbell-kirk-kawana-waugh-nz,footymetrics,last_5,2,3.0,0.0,0.0,0.0,6,0,0,0,0,0,0,2026-06-22T11:10:36
campbell-kirk-kawana-waugh-nz,footymetrics,last_10,2,3.0,0.0,0.0,0.0,6,0,0,0,0,0,0,2026-06-22T11:10:36
campbell-kirk-kawana-waugh-nz,footymetrics,last_15,2,3.0,0.0,0.0,0.0,6,0,0,0,0,0,0,2026-06-22T11:10:36
campbell-kirk-kawana-waugh-nz,footymetrics,last_25,2,3.0,0.0,0.0,0.0,6,0,0,0,0,0,0,2026-06-22T11:10:36
said-martinez-xx,footymetrics,last_5,1,3.0,0.0,1.0,23.0,3,0,1,23,0,1,0,2026-06-22T11:10:36
said-martinez-xx,footymetrics,last_10,1,3.0,0.0,1.0,23.0,3,0,1,23,0,1,0,2026-06-22T11:10:36
said-martinez-xx,footymetrics,last_15,1,3.0,0.0,1.0,23.0,3,0,1,23,0,1,0,2026-06-22T11:10:36
said-martinez-xx,footymetrics,last_25,1,3.0,0.0,1.0,23.0,3,0,1,23,0,1,0,2026-06-22T11:10:36
