match_number,espn_match_id,fifa_match_id,fifa_id_ifes,seed_match_id,kickoff_utc,kickoff_local,date_et,kickoff_et,stage,espn_season_slug,home_nation_id,away_nation_id,fifa_home_team_id,fifa_away_team_id,fifa_home_tactics,fifa_away_tactics,stadium_id,fifa_stadium_id,espn_venue_name,venue_string,status,home_score,away_score,fifa_attendance,fifa_referee_id,fifa_referee_country,fifa_referee_name,espn_status_raw,espn_notes,stadium_capacity,roof_type,surface,local_date,local_hour,temperature_c,apparent_temp_c,humidity_pct,home_confederation,home_group,home_pot,home_fifa_rank,home_squad_valuation_m_eur,home_is_host,home_espn_team_id,home_fotmob_team_id,home_tm_team_id,home_all_names,away_confederation,away_group,away_pot,away_fifa_rank,away_squad_valuation_m_eur,away_is_host,away_espn_team_id,away_fotmob_team_id,away_tm_team_id,away_all_names,referee_referee_id,referee_confederation,referee_flag_iso,referee_nation_id,referee_fm_id,referee_slug,referee_fm_url,volume_moneyline,volume_other
11,760423,400021467,151632,26.0,2026-06-14 23:00:00+00:00,2026-06-14 17:00:00-06:00,2026-06-14,19:00,group_e,group-stage,CIV,ECU,43854,43927,4-4-2,4-4-2,lincoln,400248622,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia",finished,1,0,68274,399029,FRA,François Letexier,STATUS_FULL_TIME,,69879,open,grass,2026-06-14,19.0,28.3,27.5,47.0,CAF,E,3.0,40.0,300.0,False,4789,6709.0,3591.0,"['Ivory Coast' 'cote d ivoire' ""côte d'ivoire"" 'ivory coast']",CONMEBOL,E,2.0,22.0,280.0,False,209,6707.0,5750.0,['Ecuador'],françois-letexier-fr,UEFA,fr,FRA,101.0,francois-letexier,https://footymetrics.com/referees/101-francois-letexier,16083533.820008995,5546403.2479439955
12,760424,400021474,151637,32.0,2026-06-15 02:00:00+00:00,2026-06-14 20:00:00-06:00,2026-06-14,22:00,group_f,group-stage,SWE,TUN,43970,43888,3-4-1-2,5-3-2,bbva,400238450,Estadio BBVA,"Estadio BBVA, Monterrey",finished,5,1,50987,434995,ARG,Yael Falcón Pérez,STATUS_FULL_TIME,,53500,open,grass,2026-06-14,20.0,25.5,30.1,85.0,UEFA,F,4.0,20.0,350.0,False,466,8520.0,3557.0,['Sweden'],CAF,F,3.0,49.0,70.0,False,659,6719.0,3670.0,['Tunisia'],yael-falcón-pérez-ar,CONMEBOL,ar,ARG,4811.0,yael-falcon-perez,https://footymetrics.com/referees/4811-yael-falcon-perez,21842942.19842572,5890841.641426
13,760428,400021482,151649,43.0,2026-06-15 16:00:00+00:00,2026-06-15 10:00:00-06:00,2026-06-15,12:00,group_h,group-stage,ESP,CPV,43969,43850,4-1-2-3,4-1-2-3,mercedes,400098290,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta",finished,0,0,67640,361034,JOR,Adham Mohammad Tumah Makhadmeh,STATUS_FULL_TIME,,71000,retractable,grass_overlay,2026-06-15,12.0,26.1,28.2,54.0,UEFA,H,1.0,3.0,1100.0,False,164,6720.0,3375.0,['Spain'],CAF,H,4.0,70.0,40.0,False,2597,5888.0,4311.0,['Cape Verde' 'cape verde' 'cape verde islands' 'cabo verde'],adham-mohammad-tumah-makhadmeh-jo,AFC,jo,JOR,33287.0,adham-mohammad-tumah-makhadmeh,https://footymetrics.com/referees/33287-adham-mohammad-tumah-makhadmeh,32517721.745509636,34970704.35188219
14,760426,400021478,151643,37.0,2026-06-15 19:00:00+00:00,2026-06-15 13:00:00-06:00,2026-06-15,15:00,group_g,group-stage,BEL,EGY,43935,43855,4-2-3-1,4-2-3-1,lumen,400216606,Lumen Field,"Lumen Field, Seattle",finished,1,1,66775,446932,BRA,Ramon ABATTI,STATUS_FULL_TIME,,68740,open,grass_overlay,2026-06-15,12.0,27.5,29.5,38.0,UEFA,G,1.0,8.0,720.0,False,459,8263.0,3382.0,['Belgium'],CAF,G,2.0,33.0,180.0,False,2620,10255.0,3672.0,['Egypt'],ramon-abatti-br,CONMEBOL,br,BRA,5671.0,ramon-abatti,https://footymetrics.com/referees/5671-ramon-abatti,35997260.1513378,10781214.951133974
15,760429,400021486,151650,44.0,2026-06-15 22:00:00+00:00,2026-06-15 16:00:00-06:00,2026-06-15,18:00,group_h,group-stage,KSA,URU,43835,43930,4-4-2,4-4-2,hardrock,400257525,Hard Rock Stadium,"Hard Rock Stadium, Miami Gardens",finished,1,1,62764,415965,ITA,Maurizio Mariani,STATUS_FULL_TIME,,65326,open,grass,2026-06-15,18.0,31.6,34.7,54.0,AFC,H,3.0,59.0,35.0,False,655,7795.0,3807.0,['Saudi Arabia' 'saudi arabia'],CONMEBOL,H,2.0,15.0,470.0,False,212,5796.0,3449.0,['Uruguay'],maurizio-mariani-it,UEFA,it,ITA,134.0,maurizio-mariani,https://footymetrics.com/referees/134-maurizio-mariani,25779673.353752725,11617682.787515987
16,760427,400021476,151644,38.0,2026-06-16 01:00:00+00:00,2026-06-15 19:00:00-06:00,2026-06-15,21:00,group_g,group-stage,IRN,NZL,43817,43978,4-3-3,4-4-2,sofi,400017978,SoFi Stadium,"SoFi Stadium, Inglewood",finished,2,2,70108,374810,MEX,César Arturo Ramos Palazuelos,STATUS_FULL_TIME,,70240,fixed,grass,2026-06-15,18.0,21.9,21.6,63.0,AFC,G,3.0,20.0,110.0,False,469,6711.0,3582.0,['Iran'],OFC,G,4.0,86.0,45.0,False,2666,5820.0,9171.0,['New Zealand'],césar-arturo-ramos-palazuelos-mx,CONCACAF,mx,MEX,5594.0,cesar-arturo-ramos-palazuelos,https://footymetrics.com/referees/5594-cesar-arturo-ramos-palazuelos,32750104.13143872,5914495.486315984
17,760432,400021490,151656,49.0,2026-06-16 19:00:00+00:00,2026-06-16 13:00:00-06:00,2026-06-16,15:00,group_i,group-stage,FRA,SEN,43946,43879,4-2-3-1,4-3-3,metlife,400257536,MetLife Stadium,"MetLife Stadium, East Rutherford",finished,3,1,80545,283448,AUS,Alireza FAGHANI,STATUS_FULL_TIME,,82500,open,grass_overlay,2026-06-16,15.0,24.5,25.3,34.0,UEFA,I,1.0,2.0,1180.0,False,478,6723.0,3377.0,['France'],CAF,I,2.0,18.0,320.0,False,654,6395.0,3499.0,['Senegal'],alireza-faghani-ir,AFC,ir,IRN,7867.0,alireza-faghani,https://footymetrics.com/referees/7867-alireza-faghani,28930750.003222667,16438530.222486984
18,760430,400021488,151655,50.0,2026-06-16 22:00:00+00:00,2026-06-16 16:00:00-06:00,2026-06-16,18:00,group_i,group-stage,IRQ,NOR,43818,43961,4-4-2,4-1-2-3,gillette,400248623,Gillette Stadium,"Gillette Stadium, Foxborough",finished,1,4,63106,408417,GAB,Pierre Ghislain Atcho,STATUS_FULL_TIME,,65878,open,grass_overlay,2026-06-16,18.0,23.3,21.6,37.0,AFC,I,4.0,57.0,30.0,False,4375,5819.0,3560.0,['Iraq'],UEFA,I,3.0,38.0,350.0,False,464,8492.0,3440.0,['Norway'],pierre-ghislain-atcho-ga,CAF,ga,GAB,1585826.0,pierre-ghislain-atcho,https://footymetrics.com/referees/1585826-pierre-ghislain-atcho,14558232.270338057,14492085.737214012
19,760433,400021496,151662,55.0,2026-06-17 01:00:00+00:00,2026-06-16 19:00:00-06:00,2026-06-16,21:00,group_j,group-stage,ARG,ALG,43922,43843,4-3-3,4-3-3,arrowhead,400254717,GEHA Field at Arrowhead Stadium,"Arrowhead Stadium, Kansas City",finished,3,0,69045,327975,POL,Szymon MARCINIAK,STATUS_FULL_TIME,,76416,open,grass,2026-06-16,20.0,24.9,26.3,58.0,CONMEBOL,J,1.0,1.0,620.0,False,202,6706.0,3437.0,['Argentina'],CAF,J,2.0,36.0,230.0,False,624,6317.0,3614.0,['Algeria'],szymon-marciniak-pl,UEFA,pl,POL,675.0,szymon-marciniak,https://footymetrics.com/referees/675-szymon-marciniak,24508769.30201134,14363044.332669992
20,760431,400021498,151661,56.0,2026-06-17 04:00:00+00:00,2026-06-16 22:00:00-06:00,2026-06-17,00:00,group_j,group-stage,AUT,JOR,43934,43820,4-2-3-1,3-4-3,levis,400257521,Levi's Stadium,"Levi's Stadium, Santa Clara",finished,3,1,68527,408591,MTN,Dahane BEIDA,STATUS_FULL_TIME,,68500,open,grass,2026-06-16,21.0,16.8,15.8,74.0,UEFA,J,3.0,25.0,310.0,False,474,8255.0,3383.0,['Austria'],AFC,J,4.0,64.0,30.0,False,2917,5816.0,15737.0,['Jordan'],dahane-beida-mr,CAF,mr,MTN,1587524.0,dahane-beida,https://footymetrics.com/referees/1587524-dahane-beida,12143095.787920954,10432747.782765988
