espn_match_id,title,home_nation_id,away_nation_id,start_date,end_date,polymarket_event_id_base,polymarket_event_id_more,closed_all,any_active,volume_moneyline,volume_other,total_volume,num_moneyline_markets,num_other_markets
760439,Switzerland vs. Bosnia and Herzegovina - More Markets,SUI,BIH,2026-05-22T00:13:17.373843Z,2026-06-18T19:00:00Z,,511459,True,True,0.0,9572688.374092992,9572688.374092992,0,42
760416,Canada vs. Bosnia and Herzegovina - More Markets,CAN,BIH,2026-05-22T00:13:17.190619Z,2026-06-12T19:00:00Z,,511482,True,True,0.0,5990591.143094999,5990591.143094999,0,33
760456,Argentina vs. Austria,ARG,AUT,2026-04-06T22:53:11.310543Z,2026-06-22T17:00:00Z,351755,510403,False,True,2785136.8351990315,1094123.1466919996,3879259.9818910314,3,42
760457,France vs. Iraq,FRA,IRQ,2026-04-06T22:37:01.118515Z,2026-06-22T21:00:00Z,351756,510402,False,True,1239798.7105449939,1078501.9855789992,2318300.696123993,3,42
760454,Norway vs. Senegal,NOR,SEN,2026-04-06T22:34:26.592633Z,2026-06-23T00:00:00Z,351757,510401,False,True,1401686.082984997,300254.6254490001,1701940.7084339971,3,42
760470,Türkiye vs. United States,TUR,USA,2026-04-06T22:31:45.292028Z,2026-06-26T02:00:00Z,351774,510384,False,True,1157697.062034015,72283.773486,1229980.835520015,3,42
760461,Portugal vs. Uzbekistan,POR,UZB,2026-04-06T22:53:40.238439Z,2026-06-23T17:00:00Z,351759,510399,False,True,281502.6052920002,636475.9611389999,917978.5664310001,3,42
760458,England vs. Ghana,ENG,GHA,2026-04-06T22:25:28.547306Z,2026-06-23T20:00:00Z,351760,510398,False,True,673504.045242005,143501.495876,817005.541118005,3,42
760468,Ecuador vs. Germany,ECU,GER,2026-04-06T22:47:43.408987Z,2026-06-25T20:00:00Z,351769,510389,False,True,719681.6245689975,66165.39288400002,785847.0174529975,3,42
760467,Czechia vs. Mexico,CZE,MEX,2026-04-06T22:31:04.400674Z,2026-06-25T01:00:00Z,351767,510391,False,True,617606.9228149992,70724.72941500001,688331.6522299992,3,42
760455,Jordan vs. Algeria,JOR,ALG,2026-04-06T22:33:12.079669Z,2026-06-23T03:00:00Z,351758,510400,False,True,361766.48057300143,116370.81719399997,478137.29776700144,3,42
760469,Paraguay vs. Australia,PAR,AUS,2026-04-06T22:37:25.89372Z,2026-06-26T02:00:00Z,351773,510385,False,True,340398.8030409998,84482.860021,424881.66306199983,3,42
760478,Cabo Verde vs. Saudi Arabia,CPV,KSA,2026-04-06T22:50:45.114369Z,2026-06-27T00:00:00Z,351777,510381,False,True,373065.8750819982,40355.537752000004,413421.4128339982,3,42
760471,Japan vs. Sweden,JPN,SWE,2026-04-06T22:26:39.091486Z,2026-06-25T23:00:00Z,351771,510387,False,True,340549.14551799954,59163.839655,399712.98517299956,3,42
760465,Scotland vs. Brazil,SCO,BRA,2026-04-06T22:40:19.289969Z,2026-06-24T22:00:00Z,351766,510392,False,True,269381.8586039994,50856.387061,320238.2456649994,3,42
760473,Curaçao vs. Côte d'Ivoire,CUW,CIV,2026-04-06T22:49:02.648301Z,2026-06-25T20:00:00Z,351770,510388,False,True,276917.98076499946,34717.823153000005,311635.8039179995,3,42
760466,South Africa vs. Korea Republic,RSA,KOR,2026-04-06T22:38:11.503733Z,2026-06-25T01:00:00Z,351768,510390,False,True,266799.3043730005,44697.380005,311496.6843780005,3,42
760472,Tunisia vs. Netherlands,TUN,NED,2026-04-06T22:54:09.122412Z,2026-06-25T23:00:00Z,351772,510386,False,True,225183.27984899931,85041.26002000005,310224.5398689994,3,42
760464,Morocco vs. Haiti,MAR,HAI,2026-04-06T22:56:32.859811Z,2026-06-24T22:00:00Z,351765,510393,False,True,181207.51824700017,66561.51329100002,247769.0315380002,3,42
760475,Norway vs. France,NOR,FRA,2026-04-06T22:41:04.554817Z,2026-06-26T19:00:00Z,351775,510383,False,True,146159.4835660002,70926.70597499999,217086.1895410002,3,42
760462,Bosnia-Herzegovina vs. Qatar,BIH,QAT,2026-04-06T22:43:43.475091Z,2026-06-24T19:00:00Z,351764,510394,False,True,118286.12689700017,85429.48386000007,203715.61075700022,3,42
760460,Panama vs. Croatia,PAN,CRO,2026-04-06T22:36:42.90598Z,2026-06-23T23:00:00Z,351761,510397,False,True,157621.17953300034,34724.398502000004,192345.57803500033,3,42
760481,Colombia vs. Portugal,COL,POR,2026-04-06T22:32:50.584744Z,2026-06-27T23:30:00Z,351783,510375,False,True,171719.6800179992,18902.974587,190622.6546049992,3,42
760463,Switzerland vs. Canada,SUI,CAN,2026-04-06T22:40:00.371791Z,2026-06-24T19:00:00Z,351763,510395,False,True,135688.16337099994,35664.569198,171352.73256899993,3,42
760476,Egypt vs. IR Iran,EGY,IRN,2026-04-06T22:55:48.40433Z,2026-06-27T03:00:00Z,351779,510379,False,True,136134.32235899998,17222.741421,153357.06377999997,3,42
760479,Uruguay vs. Spain,URU,ESP,2026-04-06T22:35:13.529057Z,2026-06-27T00:00:00Z,351778,510380,False,True,115547.77085699991,37633.53710500005,153181.30796199996,3,42
760477,New Zealand vs. Belgium,NZL,BEL,2026-04-06T22:44:47.677608Z,2026-06-27T03:00:00Z,351780,510378,False,True,116527.87895099996,34883.074549,151410.95349999995,3,42
760459,Colombia vs. DR Congo,COL,COD,2026-04-06T22:30:18.836641Z,2026-06-24T02:00:00Z,351762,510396,False,True,107485.83463000008,40575.581241,148061.4158710001,3,42
760485,Panama vs. England,PAN,ENG,2026-04-06T22:43:00.679495Z,2026-06-27T21:00:00Z,351781,510377,False,True,122226.75415800003,23820.913473,146047.66763100002,3,42
760480,Croatia vs. Ghana,CRO,GHA,2026-04-06T22:37:43.4517Z,2026-06-27T21:00:00Z,351782,510376,False,True,89365.36366699988,18778.534863,108143.89852999989,3,42
760484,Algeria vs. Austria,ALG,AUT,2026-04-06T22:49:24.652659Z,2026-06-28T02:00:00Z,351786,510372,False,True,80921.13295999999,11015.843891,91936.97685099998,3,42
760474,Senegal vs. Iraq,SEN,IRQ,2026-04-06T22:46:25.941422Z,2026-06-26T19:00:00Z,351776,510382,False,True,47454.04787300006,31704.41905100002,79158.46692400008,3,42
760483,Jordan vs. Argentina,JOR,ARG,2026-04-06T22:32:06.478486Z,2026-06-28T02:00:00Z,351785,510373,False,True,67863.376456,9474.634917000001,77338.011373,3,42
760482,DR Congo vs. Uzbekistan,COD,UZB,2026-04-06T22:38:28.777324Z,2026-06-27T23:30:00Z,351784,510374,False,True,45413.00041600004,11803.710399000003,57216.71081500004,3,42
