match_number,espn_match_id,fifa_match_id,fifa_id_ifes,seed_match_id,kickoff_utc,kickoff_local,date_et,kickoff_et,stage,espn_season_slug,home_nation_id,away_nation_id,fifa_home_team_id,fifa_away_team_id,fifa_home_tactics,fifa_away_tactics,stadium_id,fifa_stadium_id,espn_venue_name,venue_string,status,home_score,away_score,fifa_attendance,fifa_referee_id,fifa_referee_country,fifa_referee_name,espn_status_raw,espn_notes
82,760494,,,,2026-07-02 00:00:00+00:00,2026-07-01 17:00:00-07:00,2026-07-01,,r32,round-of-32,USA,,,,,,levis,,Levi's Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
83,760497,,,,2026-07-02 19:00:00+00:00,2026-07-02 12:00:00-07:00,2026-07-02,,r32,round-of-32,,,,,,,sofi,,SoFi Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
84,760496,,,,2026-07-02 23:00:00+00:00,2026-07-02 19:00:00-04:00,2026-07-02,,r32,round-of-32,,,,,,,bmo,,BMO Field,,scheduled,0,0,,,,,STATUS_SCHEDULED,
85,760498,,,,2026-07-03 03:00:00+00:00,2026-07-02 20:00:00-07:00,2026-07-02,,r32,round-of-32,,,,,,,bcplace,,BC Place,,scheduled,0,0,,,,,STATUS_SCHEDULED,
86,760499,,,,2026-07-03 18:00:00+00:00,2026-07-03 13:00:00-05:00,2026-07-03,,r32,round-of-32,,,,,,,att,,AT&T Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
87,760500,,,,2026-07-03 22:00:00+00:00,2026-07-03 18:00:00-04:00,2026-07-03,,r32,round-of-32,,,,,,,hardrock,,Hard Rock Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
88,760501,,,,2026-07-04 01:30:00+00:00,2026-07-03 20:30:00-05:00,2026-07-03,,r32,round-of-32,,,,,,,arrowhead,,GEHA Field at Arrowhead Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
89,760502,,,,2026-07-04 17:00:00+00:00,2026-07-04 12:00:00-05:00,2026-07-04,,r16,round-of-16,,,,,,,nrg,,NRG Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
90,760503,,,,2026-07-04 21:00:00+00:00,2026-07-04 17:00:00-04:00,2026-07-04,,r16,round-of-16,,,,,,,lincoln,,Lincoln Financial Field,,scheduled,0,0,,,,,STATUS_SCHEDULED,
91,760504,,,,2026-07-05 20:00:00+00:00,2026-07-05 16:00:00-04:00,2026-07-05,,r16,round-of-16,,,,,,,metlife,,MetLife Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
92,760505,,,,2026-07-06 00:00:00+00:00,2026-07-05 18:00:00-06:00,2026-07-05,,r16,round-of-16,,,,,,,azteca,,Estadio Banorte,,scheduled,0,0,,,,,STATUS_SCHEDULED,
93,760506,,,,2026-07-06 19:00:00+00:00,2026-07-06 14:00:00-05:00,2026-07-06,,r16,round-of-16,,,,,,,att,,AT&T Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
94,760507,,,,2026-07-07 00:00:00+00:00,2026-07-06 17:00:00-07:00,2026-07-06,,r16,round-of-16,,,,,,,lumen,,Lumen Field,,scheduled,0,0,,,,,STATUS_SCHEDULED,
95,760509,,,,2026-07-07 16:00:00+00:00,2026-07-07 12:00:00-04:00,2026-07-07,,r16,round-of-16,,,,,,,mercedes,,Mercedes-Benz Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
96,760508,,,,2026-07-07 20:00:00+00:00,2026-07-07 13:00:00-07:00,2026-07-07,,r16,round-of-16,,,,,,,bcplace,,BC Place,,scheduled,0,0,,,,,STATUS_SCHEDULED,
97,760510,,,,2026-07-09 20:00:00+00:00,2026-07-09 16:00:00-04:00,2026-07-09,,qf,quarterfinals,,,,,,,gillette,,Gillette Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
98,760511,,,,2026-07-10 19:00:00+00:00,2026-07-10 12:00:00-07:00,2026-07-10,,qf,quarterfinals,,,,,,,sofi,,SoFi Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
99,760512,,,,2026-07-11 21:00:00+00:00,2026-07-11 17:00:00-04:00,2026-07-11,,qf,quarterfinals,,,,,,,hardrock,,Hard Rock Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
100,760513,,,,2026-07-12 01:00:00+00:00,2026-07-11 20:00:00-05:00,2026-07-11,,qf,quarterfinals,,,,,,,arrowhead,,GEHA Field at Arrowhead Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
101,760514,,,,2026-07-14 19:00:00+00:00,2026-07-14 14:00:00-05:00,2026-07-14,,sf,semifinals,,,,,,,att,,AT&T Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
102,760515,,,,2026-07-15 19:00:00+00:00,2026-07-15 15:00:00-04:00,2026-07-15,,sf,semifinals,,,,,,,mercedes,,Mercedes-Benz Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
103,760516,,,,2026-07-18 21:00:00+00:00,2026-07-18 17:00:00-04:00,2026-07-18,,third_place,3rd-place-match,,,,,,,hardrock,,Hard Rock Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
104,760517,,,,2026-07-19 19:00:00+00:00,2026-07-19 15:00:00-04:00,2026-07-19,,final,final,,,,,,,metlife,,MetLife Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
