fifa_player_id,fifa_team_id,avg_attacking_score,avg_defensive_score,avg_creativity_score,avg_defending_the_goal_score,n_matches_ranked,player_kind
201200,43963,4.344441890716553,4.965504169464111,5.314385890960693,,1,outfieldPlayer
228912,43948,,,,5.055302381515503,2,goalkeeper
229397,43922,8.624955177307129,4.904720783233643,7.836018085479736,,1,outfieldPlayer
229498,43930,,,,6.108368396759033,2,goalkeeper
241559,43938,3.5057992935180664,3.7060468196868896,4.873976707458496,,1,outfieldPlayer
261367,43978,4.184705495834351,6.641122579574585,5.191933631896973,,2,outfieldPlayer
269058,43926,4.801690101623535,4.679006099700928,5.728137493133545,,1,outfieldPlayer
274078,43978,5.244799613952637,4.71734356880188,6.020805835723877,,2,outfieldPlayer
274281,43822,,,,5.825134038925171,2,goalkeeper
275917,43908,4.4317827224731445,5.394819974899292,5.34934139251709,,2,outfieldPlayer
288961,43817,4.934723377227783,5.479074954986572,5.789397954940796,,2,outfieldPlayer
295922,43908,,,,5.1271326541900635,2,goalkeeper
299200,43934,6.047966003417969,4.953682899475098,5.218147277832031,,1,outfieldPlayer
300409,44037,4.7098388671875,4.5480570793151855,7.027170658111572,,1,outfieldPlayer
307849,43822,4.971958637237549,4.549898147583008,6.019748687744141,,2,outfieldPlayer
308300,43922,,,,5.199484825134277,1,goalkeeper
308370,43924,,,,5.759526014328003,2,goalkeeper
308386,43924,4.281822919845581,7.258176565170288,5.132259368896484,,2,outfieldPlayer
310116,43922,4.440974712371826,6.680569171905518,5.3135085105896,,1,outfieldPlayer
311558,43971,4.9734272956848145,5.067162990570068,6.665441989898682,,2,outfieldPlayer
313559,43971,4.05363917350769,5.977702379226685,6.834604740142822,,2,outfieldPlayer
316002,43934,4.6801066398620605,6.696914196014404,5.61513614654541,,1,outfieldPlayer
321697,43976,5.052792549133301,4.914064407348633,5.56377649307251,,1,outfieldPlayer
331463,43978,4.632595539093018,4.579794883728027,5.652243137359619,,2,outfieldPlayer
331732,43899,,,,6.168090581893921,2,goalkeeper
332314,43879,4.138468265533447,4.3763298988342285,4.725496768951416,,1,outfieldPlayer
332946,43924,4.06018590927124,7.068135976791382,5.3054375648498535,,2,outfieldPlayer
335656,43924,4.316490888595581,6.187750816345215,5.630130052566528,,2,outfieldPlayer
335999,43969,5.185245513916016,6.99970555305481,6.944764852523804,,2,outfieldPlayer
336022,43942,,,,6.422087669372559,1,goalkeeper
336098,43960,5.129890203475952,4.936006546020508,6.6275482177734375,,2,outfieldPlayer
336425,20014,5.154866695404053,4.907283782958984,6.631993770599365,,1,outfieldPlayer
336459,43888,4.360510349273682,4.767230987548828,4.806371212005615,,1,outfieldPlayer
336641,43978,4.872739315032959,5.36630392074585,5.504541873931885,,1,outfieldPlayer
337251,43914,4.88136625289917,4.775425434112549,4.695823669433594,,1,outfieldPlayer
339112,43976,4.638871192932129,5.813072204589844,5.799775123596191,,2,outfieldPlayer
339510,43921,4.100147485733032,6.32708740234375,5.587843656539917,,2,outfieldPlayer
339745,43835,5.239679574966431,3.9953728914260864,7.483907222747803,,2,outfieldPlayer
339820,43879,4.0807600021362305,5.020346164703369,5.03626012802124,,1,outfieldPlayer
339987,43938,5.0948486328125,5.245999336242676,7.434403419494629,,1,outfieldPlayer
344654,43855,7.601726531982422,5.1262030601501465,8.30667781829834,,2,outfieldPlayer
344661,43855,4.635540962219238,6.028522491455078,6.003771066665649,,2,outfieldPlayer
346743,43817,4.44043493270874,5.825724363327026,4.548749685287476,,2,outfieldPlayer
347085,43818,,,,4.894252300262451,1,goalkeeper
353235,43860,4.398416519165039,5.199626922607422,4.932423114776611,,1,outfieldPlayer
353251,43834,5.247244358062744,6.223066806793213,5.477901935577393,,1,outfieldPlayer
353790,43879,4.676677227020264,5.036752700805664,5.939450263977051,,1,outfieldPlayer
354861,43834,5.214550971984863,5.978280544281006,5.878633975982666,,1,outfieldPlayer
355642,43850,5.2312939167022705,4.764808654785156,5.312723398208618,,2,outfieldPlayer
356412,43971,4.070493698120117,5.9280524253845215,4.7676239013671875,,1,outfieldPlayer
356532,20014,4.5620551109313965,6.154178142547607,6.2862091064453125,,1,outfieldPlayer
356731,43911,6.2007622718811035,5.655986785888672,5.277692556381226,,2,outfieldPlayer
356956,43872,,,,6.121229410171509,2,goalkeeper
358003,43995,5.279138088226318,5.8027544021606445,5.714917182922363,,1,outfieldPlayer
358106,43935,,,,6.561073064804077,2,goalkeeper
358112,43935,4.8419578075408936,5.339432239532471,5.305756568908691,,2,outfieldPlayer
358120,43935,5.208784103393555,5.40880823135376,7.20929479598999,,2,outfieldPlayer
358122,43935,4.513117551803589,6.393032550811768,6.25717830657959,,2,outfieldPlayer
358241,43934,4.358694076538086,5.221995830535889,7.05381441116333,,1,outfieldPlayer
359381,43938,4.947890281677246,4.735961437225342,7.442864894866943,,1,outfieldPlayer
