fantasy_player_id,fifa_player_id,fantasy_squad_id,first_name,last_name,known_name,position,price,is_active,percent_selected,rounds_selected_json,total_points,avg_points,form,last_round_points,round_points_json,qualification_round_ids_json
972,436537.0,37,Musab bin Fahad bin Zaid,Al Juwayr,Musab Al Juwayr,MID,4.1,True,0.5,"{""1"": 0.5, ""2"": 0.4, ""3"": 0.5}",4,2.0,1.3,1,"{""1"": 3, ""2"": 1}",[]
977,436538.0,37,Ziyad bin Mubarak bin Eid Al Marwani,Al Johani,Ziyad Al Johani,MID,4.9,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
978,407993.0,37,Mohamed bin Ibrahim bin Abdullah,Kanno,Mohamed Kanno,MID,5.1,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",7,3.5,2.3,0,"{""1"": 7, ""2"": 0}",[]
980,411624.0,37,Abdullah bin Mohammed bin Hamza Al Berri,Al Khaibari,Abdullah Al Khaibari,MID,5.1,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",3,1.5,1.0,1,"{""1"": 2, ""2"": 1}",[]
982,430512.0,37,Aiman bin Yahya bin Yahya,Salem Ahmed,Aiman Yahya,MID,5.6,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
983,419281.0,37,Saud bin Abdullah bin Salem,Abdulhamid,Saud Abdulhamid,DEF,4.1,True,0.2,"{""1"": 0.2, ""2"": 0.2, ""3"": 0.2}",1,0.5,0.3,-1,"{""1"": 2, ""2"": -1}",[]
984,403312.0,37,Abdulelah bin Ali bin Awadh,Al Amri,Abdulelah Al Amri,DEF,3.7,True,0.3,"{""1"": 0, ""2"": 0.2, ""3"": 0.3}",9,4.5,3.0,-1,"{""1"": 10, ""2"": -1}",[]
985,401924.0,37,Hassan bin Kadish bin Yahya,Mahbub,Hassan Kadish,DEF,3.7,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
986,419326.0,37,Ali bin Hassan bin Mohammed,Majrashi,Ali Majrashi,DEF,3.6,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
987,430518.0,37,Nawaf bin Meshari bin Mohammed,Bu Washl,Nawaf Bu Washl,DEF,3.5,True,0.1,"{""1"": 0.1, ""2"": 0, ""3"": 0.1}",1,1.0,0.3,1,"{""1"": 1}",[]
991,433439.0,37,Ali bin Mohammed bin Ali,Lajami,Ali Lajami,DEF,3.5,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,-1,"{""1"": 1, ""2"": -1}",[]
992,419291.0,37,Feras bin Tariq bin Nasser,Al Brikan,Feras Al Brikan,FWD,5.3,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",4,2.0,1.3,2,"{""1"": 2, ""2"": 2}",[]
993,419302.0,37,Abdullah bin Abdulrahman bin Abdullah,Al Hamddan,Abdullah Al Hamddan,FWD,4.9,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",2,1.0,0.7,1,"{""1"": 1, ""2"": 1}",[]
