fifa_match_id,fifa_id_ifes,espn_match_id,match_number,stage,kickoff_utc,home_nation_id,away_nation_id,fifa_player_id,name,nation_id,position,real_position,jersey_num,Assists,AttemptAtGoal,AttemptAtGoalOnTarget,AttemptedBallProgressions,AttemptedSwitchesOfPlay,AvgSpeed,CleanSheets,CompletedBallProgressions,CompletedSwitchesOfPlay,Corners,Crosses,CrossesCompleted,DefensivePressuresApplied,DistanceHighSpeedSprinting,DistanceWalking,DistributionsCompletedUnderPressure,DistributionsUnderPressure,ForcedTurnovers,FoulsAgainst,FoulsFor,FreeKicks,GoalkeeperSaves,Goals,GoalsConceded,GoalsOutsideThePenaltyArea,LinebreaksAttempted,LinebreaksAttemptedCompleted,LinebreaksCompletedUnderPressure,NumberOfInvolvements,NumberOfPossessionSequences,NumberOfShotEndingSequences,OffersToReceiveTotal,Offsides,OwnGoals,Passes,PassesCompleted,Penalties,PenaltiesScored,ReceivedOffersToReceive,ReceptionsBetweenMidfieldAndDefensiveLine,ReceptionsInBehind,ReceptionsUnderNoPressure,ReceptionsUnderPressure,RedCards,SpeedRuns,Sprints,SubstitutionsIn,SubstitutionsOut,TakeOnsCompleted,TimePlayed,TopSpeed,TotalDistance,XG,YellowCards
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,479294,Kaishu SANO,JPN,Midfielder,Midfielder,24.0,0.0,0.0,0.0,2.0,0.0,6.7008280754089355,0.0,2.0,0.0,0.0,0.0,0.0,30.0,164.99000549316406,3849.35009765625,9.0,13.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,5.0,3.0,61.0,31.0,4.0,43.0,0.0,0.0,27.0,24.0,0.0,0.0,6.0,1.0,0.0,17.0,11.0,0.0,125.0,37.0,0.0,0.0,0.0,99.07321666666667,29.262231826782227,11066.2998046875,0.0,0.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,483481,Mats WIEFFER,NED,Defender,Defender,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,483512,Jorrel HATO,NED,Defender,Defender,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,483526,Tijjani REIJNDERS,NED,Midfielder,Midfielder,14.0,0.0,0.0,0.0,0.0,0.0,6.291516304016113,0.0,0.0,0.0,4.0,7.0,4.0,6.0,150.69000244140625,2888.64990234375,11.0,16.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,7.0,4.0,2.0,59.0,31.0,3.0,64.0,0.0,0.0,25.0,19.0,0.0,0.0,10.0,8.0,0.0,12.0,12.0,0.0,89.0,25.0,0.0,1.0,0.0,73.07396666666666,29.753093719482422,7660.7001953125,0.0,0.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,483553,Lutsharel GEERTRUIDA,NED,Defender,Defender,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,484859,Quinten TIMBER,NED,Midfielder,Midfielder,26.0,0.0,0.0,0.0,1.0,0.0,7.084116458892822,0.0,0.0,0.0,0.0,2.0,1.0,11.0,20.780000686645508,969.4300537109375,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,13.0,5.0,1.0,15.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,3.0,1.0,2.0,5.0,0.0,53.0,14.0,1.0,0.0,0.0,25.99924999999999,30.702632904052734,3073.550048828125,0.0,0.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,485503,Yuito SUZUKI,JPN,Midfielder,Midfielder,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,489517,Jan Paul VAN HECKE,NED,Defender,Defender,6.0,0.0,1.0,1.0,1.0,1.0,5.834006309509277,0.0,1.0,0.0,0.0,0.0,0.0,8.0,75.4800033569336,3988.090087890625,7.0,11.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,19.0,11.0,2.0,191.0,49.0,4.0,7.0,0.0,0.0,92.0,86.0,0.0,0.0,4.0,2.0,0.0,88.0,4.0,0.0,83.0,23.0,0.0,0.0,1.0,99.07321666666667,31.199657440185547,9634.48046875,0.06635896861553192,0.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,489518,Crysencio SUMMERVILLE,NED,Forward,Forward,24.0,0.0,1.0,1.0,4.0,0.0,6.053996562957764,0.0,1.0,0.0,0.0,3.0,0.0,18.0,245.6199951171875,2797.64013671875,21.0,33.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,13.0,9.0,9.0,69.0,28.0,2.0,27.0,0.0,0.0,28.0,23.0,0.0,0.0,16.0,13.0,3.0,5.0,32.0,0.0,81.0,30.0,0.0,1.0,1.0,72.92283333333333,34.342342376708984,7356.91015625,0.04463914409279823,1.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,498455,Junnosuke SUZUKI,JPN,Defender,Defender,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
